"input_location","output_location","notes","version"
"China,Campus of Guangdong Pharmaceutical University,Guangzhou","23.054865826440242;113.40590743799021","coordinates","20231103"
"China,Mu Us Sandy Land","USA,Sandy Land","","20231103"
"South Korea,Incheon Sinseon Reservoir","South Korea,Sinseonjieoggaedongmu Pansion","","20231103"
"Switzerland,Lake Zug","Switzerland,ZUgersee","","20231103"
"South Korea,Kyungki","South Korea,Gyeonggi-do","","20231103"
"China,Zijin gold and copper mine","China,Zijin","","20231103"
"China,a pond on the Huanglong mountain,Sichuan","China,Huanglong national park","","20231103"
"Finland,Varlaxudden,Baltic Sea","Vaarlahden suoja-alue","","20231103"
"Viet Nam,The Cat Lai port,Ho Chi Minh City","Vietnam, Ho Chi Minh City,Cang Cat Lai","","20231103"
"United Kingdom,Kew,Surrey","51.37609725;-0.31669077556454545","coordinates, middle_point: ['Kew, United Kingdom', 'Surrey, United Kingdom']","20231103"
"Indonesia,Bogor,West Java","Indonesia, West Java,Bogor","","20231103"
"Australia,Townsville,Queensland","Australia, Queensland,Townsville","","20231103"
"USA,Berrien County,Michigan","USA, Michigan,Berrien County","","20231103"
"Chile,Del Maule Region","Chile,Maule Region","","20231103"
"Chile,De Los Lagos Region","Chile,Los Lagos Region","","20231103"
"Italy,Province of Bologna","Italy, Emilia-Romagna,Bologna","","20231103"
"Thailand,Eastern Thailand","13.45;101.6","coordinates","20231103"
"China,Yan 'an City,Shaanxi Province","China, Shaanxi,Yan'An","","20231103"
"China,Taiwan","Taiwan","","20231103"
"China,Guang Xi","China,Guangxi","","20231103"
"Ghana,Ga district","Ghana,Ga Central Municipal","","20231103"
"USA,Washington,D.C.","USA, DC,Washington D. C.","","20231103"
"China,An Hui,Wu Hu","China, Anhui,Wuhu","","20231103"
"Russia,Leningrad region","Russia,Leningrad Oblast","","20231103"
"China,Tibet,Qinghai","32.631369774999996;93.41354821620976","coordinates, middle_point: ['China, Tibet', 'China, Qinghai']","20231103"
"India,Arabian Sea","Arabian Sea","","20231103"
"USA,Pennslyvania","USA,Pennsylvania","","20231103"
"China,Xia Pu","China,Xiapu","","20231103"
"USA,Northeast","42;-73","coordinates","20231103"
"China,Guizhou Province","China,Guizhou","","20231103"
"Australia,Flinders","-38.43481065779206;144.96899720789477","coordinates","20231103"
"USA,LA","USA,Los Angeles","","20231103"
"China,tea garden","27.32624669403336;114.97906433887624","coordinates","20231103"
"Chin,Guangxi,Beihai,Hepu County,Gongguan","China,Guangxi,Beihai,Hepu County,Gongguan","","20231103"
"Italy,Plant intercepted in from Costa Rica","Costa Rica","","20231103"
"France,Plant intercepted in from Costa Rica","Costa Rica","","20231103"
"China,Shengli oilfied","China,Shengli","","20231103"
"China,Jiangsu Province,Xuzhou City,Tongshan District","China,Jiangsu,Xuzhou,Tongshan District","","20231103"
"China,a shrimp pond in Wuhan","China,Wuhan","","20231103"
"USA,Catalina Harbor,Catalina,CA","USA,Catalina Harbor","","20231103"
"Tunisia,Beja (Wechtata)","Tunisia,Beja","","20231103"
"China,Lu Chao harbor,Shanghai","30.858530367520626;121.85079190350208","coordinates","20231103"
"China,Jiang su ","China,Jiangsu","","20231103"
