lat	lng	location	type
51.1999277	11.8331395	Germany,Dobichau	name
44.83141	9.41722	Netherlands,Bennekom area	name
39.789	20.781	39.789N;20.781E	coordinates
29.710689	-95.400586	29.710689N;95.400586W	coordinates
34.4233	135.1501	34.4233N;135.1501E	coordinates
35.1082626	126.86720490000002	35.1082626N;126.8672049E	coordinates
27.7567667	-81.4639835	USA,FL	name
-8.35932	-35.7639	8.35932S;35.7639W	coordinates
-4.4833300000000005	-44.45	4.48333S;44.45W	coordinates
7.111461099999999	-73.11728690000002	Colombia,Bucaramanga.	name
-22.0	-49.0	Brazil,City of Sao Paulo,State of Sao Paulo	name
55.35000030000001	23.7499997	Lithuania	name
48.8088625	2.3568267999999994	France,Kremlin-Bicetre	name
32.24	77.14	32.24N;77.14E	coordinates
35.3	134.2	35.3N;134.2E	coordinates
35.11	126.87	35.11N;126.87E	coordinates
15.0	115.0	China,Nanhai,South China Sea	name
47.2000338	13.199959	Austria	name
32.16	78.03999999999995	32.16N;78.03999999999996E	coordinates
50.925	13.333329999999998	50.92500N;13.33333E	coordinates
49.1212094	-56.696296200000006	Canada,Newfoundland	name
49.28	-123.12	49.28N;123.12W	coordinates
47.1817585	19.5060937	Hungary	name
33.8439408	9.400138	Tunisia	name
46.20679970000001	-119.7689222	USA,Washington,Prosser	name
39.0466167	-76.9385357	USA,Beltsville,MD	name
58.86666999999999	11.1	Sweden,Kosterfjorden	name
25.6461931	-100.296032	Mexico,Monterrey,Nuevo Leon	name
37.871853	-122.258423	37.871853N;122.258423W	coordinates
24.121298	120.675666	24.121298N;120.675666E	coordinates
34.73	113.7	34.73N;113.70E	coordinates
12.0753083	-1.6880313999999998	Burkina Faso	name
34.9550817	-97.2684063	USA,Oklahoma	name
39.99064	116.28868	China,Dongma Square,Haidian District,Beijing	name
65.0872813	18.0419868	Sweden,Oresund	name
36.63	127.46	36.63N;127.46E	coordinates
26.35	106.42	26.35N;106.42E	coordinates
42.28	-83.72	42.28N;83.72W	coordinates
29.5585712	106.5492822	China,ChongQing	name
34.2583411	-6.5830166	Morocco,Maamora Forest	name
35.171013979762094	126.8411543914806	35.171013979762094N;126.84115439148058E	coordinates
37.54022177661231	127.001953125	37.54022177661231N;127.001953125E	coordinates
27.47	111.41	27.47N;111.41E	coordinates
47.37239570000001	8.5423216	Switzerland,Zuerich	name
38.9847	-77.0947	38.9847N;77.0947W	coordinates
21.2160437	-157.975203	USA,Hawaii	name
38.25445	-104.60914	Mexico,Huautla,San Miguel Acuexcomac,Pueblo	name
31.8160381	-99.5120986	USA,Texas	name
40.9699889	-77.72788309999999	USA,PA	name
30.6765553	104.0612783	China,Chengdu	name
42.352037666785115	-71.0628278553486	42.35203766678512N;71.06282785534859W	coordinates
35.1	21.29999999999995	35.1N;21.299999999999955E	coordinates
29.11	128.08	29.11N;128.08E	coordinates
40.8242	-77.8546	40.8242N;77.8546W	coordinates
40.79	-77.86	40.79N;77.86W	coordinates
-33.865	151.2094	33.8650S;151.2094E	coordinates
43.0	125.0	43N;125E	coordinates
30.3	120.2	30.3N;120.2E	coordinates
37.52	121.39	37.52N;121.39E	coordinates
40.71	-74.01	40.71N;74.01W	coordinates
-18.9249604	46.4416422	Madagascar	name
43.546557	-80.249977	Canada,Ontario,Guelph	name
22.90029	120.54237	Taiwan,Meinong District,Kaohsiung	name
47.55810770000001	7.5878261	Switzerland,Basel	name
30.3308401	71.247499	Pakistan	name
36.6558069	128.44319299999998	South Korea,Yecheon	name
45.627484	-72.940636	Canada,Quebec,Saint-Hyacinthe	name
35.683299	140.065562	35.683299N;140.065562E	coordinates
35.44499099999999	139.636768	Japan,Kanagawa,Yokohama	name
43.12	86.81	43.12N;86.81E	coordinates
51.0599	13.7431	51.0599N;13.7431E	coordinates
49.2327	6.9961	49.2327N;6.9961E	coordinates
37.34	127.92	37.34N;127.92E	coordinates
22.99	120.21	22.99N;120.21E	coordinates
31.8160381	-99.5120986	USA,TX	name
